Model,Train R²,Test R²,RMSE,MAE
MLP Neural Network,0.9900556525285712,0.9523053128340095,6.278500360032843,3.4903647756205727
Gradient Boosting,0.997657675157791,0.9439105042540876,6.80866064941982,3.457748836303775
Random Forest,0.9892779013320783,0.9148772596224853,8.387716043068641,3.991504506007924
Lasso Regression,0.6322212655030086,0.6594354780743343,16.777244088882572,11.934139291818052
Ridge Regression,0.6395786245086759,0.6572401245934869,16.83123211851299,12.32851021002813
ElasticNet,0.5552164564720512,0.5854919201456739,18.509190337432496,12.294920245290246
AdaBoost,0.5746538845236924,0.4920964100143299,20.48856597179412,18.9785909947333
